gene1,gene2,weight
AADAC,PLIN1,0.46
AADAC,PMPCA,0.485
AADAC,PMPCB,0.449
AADAC,PNPLA2,0.448
AADAC,RGN,0.621
AADAC,SLCO1B1,0.466
AADAC,SLITRK1,0.401
AADAC,TDO2,0.603
AADAC,TM6SF2,0.411
AADAC,UQCRC1,0.449
AADAC,UQCRFS1,0.535
AADACL2,ADGRV1,0.442
AADACL2,CDH23,0.418
AADACL2,CLCA2,0.463
AADACL2,CLIC5,0.45
AADACL2,COL10A1,0.402
AADACL2,CYC1,0.533
AADACL2,ENSP00000497305,0.465
AADACL2,FLG2,0.561
AADACL2,HRG,0.509
AADACL2,KMO,0.4
AADACL2,KYNU,0.584
AADACL2,NDUFA12,0.503
AADACL2,NDUFA2,0.501
AADACL2,NDUFA5,0.502
AADACL2,NDUFA6,0.503
AADACL2,NDUFA9,0.465
AADACL2,NDUFAB1,0.487
AADACL2,NDUFS1,0.572
AADACL2,NDUFS4,0.503
AADACL2,NDUFS6,0.512
AADACL2,NDUFS8,0.526
AADACL2,NDUFV1,0.516
AADACL2,NDUFV2,0.502
AADACL2,OTOF,0.452
AADACL2,PALB2,0.487
AADACL2,PMPCA,0.485
AADACL2,PMPCB,0.449
AADACL2,PRXL2C,0.453
AADACL2,RGPD4,0.402
AADACL2,RPGRIP1L,0.433
AADACL2,SLC26A5,0.496
AADACL2,SLC52A3,0.486
AADACL2,SRRM4,0.46
AADACL2,STOX1,0.491
AADACL2,TDO2,0.57
AADACL2,TMC1,0.46
AADACL2,TXNDC8,0.442
AADACL2,UQCRC1,0.449
AADACL2,UQCRFS1,0.535
AADACL2,WFS1,0.423
AADACL3,C1orf158,0.676
AADACL3,CYC1,0.533
AADACL3,ENSP00000497305,0.465
AADACL3,ERICH6,0.402
AADACL3,KMO,0.4
AADACL3,KYNU,0.579
AADACL3,NDUFA12,0.503
AADACL3,NDUFA2,0.501
AADACL3,NDUFA5,0.502
AADACL3,NDUFA6,0.503
AADACL3,NDUFA9,0.465
AADACL3,NDUFAB1,0.487
AADACL3,NDUFS1,0.572
AADACL3,NDUFS4,0.503
